job_id,has_fraud_bigram,has_legit_bigram,has_email,has_phone,has_url,money_in_title,company_profile_length,description_length,requirements_length,benefits_length
1,1,1,0,0,0,0,150,132,119,0
2,0,1,0,0,1,0,170,324,198,235
3,1,1,0,0,0,0,143,50,187,0
4,0,1,0,0,0,0,90,355,181,107
5,0,1,0,1,0,0,214,179,93,3
6,1,1,0,0,1,0,0,502,0,0
7,0,1,0,0,1,0,141,61,81,67
8,0,1,0,0,1,0,164,409,55,122
9,0,1,0,0,0,0,197,9,54,0
10,1,0,0,0,0,0,88,156,99,0
11,1,1,1,0,1,0,0,363,363,7
12,0,0,0,0,0,0,56,203,102,89
13,0,1,0,0,1,0,88,226,104,0
14,0,1,0,0,0,0,57,134,92,0
15,0,1,0,0,1,0,66,146,66,43
16,0,1,0,0,0,0,140,480,94,45
17,0,0,0,0,0,0,71,57,59,0
18,0,1,0,0,0,0,136,65,11,2
19,0,0,0,0,0,0,69,248,0,0
20,0,1,0,0,1,0,34,181,174,0
21,0,1,0,0,0,0,211,194,113,0
22,0,0,0,0,0,0,220,295,117,111
23,0,1,0,0,0,0,402,166,136,33
24,0,1,0,0,1,0,145,234,116,39
25,0,1,0,0,0,0,0,56,0,0
26,0,1,1,0,0,0,333,711,13,0
27,0,1,0,0,0,0,95,78,79,64
28,1,0,1,0,1,0,91,70,14,25
29,1,1,0,0,1,0,34,223,0,0
30,1,0,0,0,0,0,88,156,99,0
31,1,1,0,0,0,0,88,278,184,0
32,0,1,0,0,0,0,0,48,81,42
33,0,1,0,0,0,0,54,187,171,49
34,1,1,0,0,0,0,143,240,72,0
35,0,0,0,0,0,0,103,31,75,0
36,0,0,0,0,1,0,9,41,17,3
37,0,0,0,0,1,0,9,32,19,3
38,1,1,0,0,0,0,0,312,0,0
39,0,1,0,0,0,0,36,252,144,69
40,1,1,0,0,0,0,88,243,104,0
41,0,0,0,0,1,0,9,41,17,3
42,0,0,0,0,1,0,9,41,17,3
43,0,0,0,0,0,0,0,52,0,0
44,1,0,0,0,0,0,88,91,85,0
45,1,0,0,0,0,0,88,345,118,0
46,0,1,0,0,0,0,116,184,134,30
47,0,0,0,0,0,0,902,23,23,0
48,1,0,0,0,0,0,88,177,91,0
49,0,0,0,0,1,0,9,41,17,3
50,1,0,0,0,0,0,88,168,89,0
51,0,1,0,0,0,0,27,102,54,0
52,0,1,0,0,0,0,88,130,189,0
53,0,0,0,0,0,0,78,54,80,0
54,0,1,0,0,0,0,0,182,78,13
55,1,0,0,0,0,0,116,109,95,117
56,0,0,0,0,0,0,25,57,126,21
57,1,0,0,0,0,0,116,109,95,117
58,0,1,0,0,1,0,321,128,297,175
59,0,1,0,0,0,0,70,138,32,58
60,0,1,0,0,0,0,116,94,167,43
61,0,0,0,0,0,0,9,39,20,3
62,0,0,0,0,0,0,157,225,160,58
63,0,0,0,0,1,0,9,41,17,3
64,0,1,0,0,0,0,88,177,148,0
65,0,1,0,0,0,0,0,219,99,0
66,0,0,0,0,1,0,193,38,174,276
67,0,0,0,0,0,0,91,39,4,6
68,0,1,0,0,1,0,34,100,0,0
69,0,1,0,0,1,0,34,362,0,0
70,0,1,0,0,0,0,0,35,197,0
71,0,1,0,0,0,0,33,79,83,14
72,0,1,0,0,0,0,100,88,74,64
73,1,0,0,0,0,0,88,156,91,0
74,0,1,0,0,0,0,0,43,14,7
75,1,0,0,0,0,0,88,142,88,0
76,0,1,0,0,1,0,108,285,121,78
77,1,1,0,1,0,0,214,225,18,2
78,0,1,0,0,1,0,0,254,63,44
79,1,1,0,0,0,0,67,1159,0,0
80,0,1,0,0,1,0,86,176,49,86
81,0,0,0,0,1,0,9,41,17,3
82,1,0,0,0,0,0,88,260,86,0
83,0,1,0,0,0,0,136,137,5,3
84,0,1,0,0,0,0,88,166,132,0
85,0,0,0,0,0,0,88,152,64,0
86,0,1,0,0,1,0,160,249,147,71
87,1,0,0,0,0,0,88,195,114,0
88,1,1,0,0,0,0,88,207,97,0
89,0,1,1,0,0,0,321,377,0,0
90,0,0,0,0,1,0,9,41,17,3
91,0,1,0,0,0,0,68,213,79,41
92,0,0,0,0,0,0,210,70,39,44
93,1,0,0,0,1,0,0,278,0,0
94,1,0,0,0,0,0,88,123,93,0
95,0,1,1,0,0,0,136,107,16,2
96,0,1,1,0,0,0,74,177,71,2
97,0,1,0,0,1,0,142,74,96,82
98,1,0,0,0,0,0,88,128,96,0
99,1,1,1,1,0,0,131,298,159,80
100,0,0,0,0,1,0,9,41,17,3
101,0,1,0,0,0,0,0,88,89,0
102,0,0,0,0,1,0,9,41,17,3
103,0,0,0,0,1,0,6,68,15,19
104,1,0,0,0,0,0,88,157,91,0
105,0,0,0,0,0,0,0,67,0,0
106,0,1,0,0,0,0,144,664,0,0
107,0,1,0,0,0,0,136,102,6,2
108,0,0,0,0,1,0,102,268,180,0
109,0,1,0,0,0,0,0,345,0,0
110,0,0,0,0,0,0,88,445,51,0
111,1,1,0,0,0,0,88,173,114,0
112,1,0,0,0,0,0,88,172,91,0
113,1,0,0,0,0,0,88,165,91,0
114,0,1,0,0,0,0,91,156,77,31
115,0,1,0,0,1,0,355,94,99,50
116,0,1,0,0,0,0,136,96,12,2
117,0,1,0,0,1,0,163,285,109,20
118,0,1,0,0,0,0,84,53,11,7
119,0,0,0,0,0,0,220,105,79,28
120,0,0,0,0,1,0,9,41,17,3
121,0,1,0,0,0,0,88,293,108,0
122,0,1,0,0,0,0,20,116,43,34
123,0,0,0,0,1,0,9,41,17,3
124,0,0,0,0,1,0,9,41,17,3
125,1,0,0,0,0,0,88,154,92,0
126,0,1,0,0,0,0,119,85,50,19
127,0,1,0,0,0,0,259,108,49,119
128,0,0,0,0,0,0,201,124,89,60
129,1,1,0,0,1,1,114,151,194,6
130,1,1,0,0,0,0,88,278,184,0
131,1,0,0,0,0,0,88,142,67,0
132,0,1,0,0,0,0,136,137,5,3
133,0,0,0,0,0,0,30,72,47,27
134,0,0,0,0,1,0,9,41,17,3
135,0,1,0,0,0,0,113,214,136,25
136,0,0,0,0,1,0,9,41,17,3
137,1,0,0,0,0,0,88,130,97,0
138,0,0,0,0,0,0,69,48,0,0
139,1,0,0,0,0,0,88,260,86,0
140,1,0,0,0,0,0,88,157,91,0
141,0,0,0,0,1,0,9,41,17,3
142,1,1,0,0,0,0,88,163,111,0
143,0,1,0,0,0,0,50,126,32,0
144,0,0,0,0,1,0,9,57,15,3
145,0,0,0,0,0,0,0,59,0,0
146,0,0,0,0,0,0,0,175,6,6
147,1,0,0,0,0,0,88,130,97,0
148,0,1,0,0,1,0,34,132,0,0
149,0,1,0,0,0,0,125,116,194,36
150,0,1,0,0,0,0,90,355,181,107
151,0,1,0,0,0,0,82,184,109,9
152,0,0,0,0,1,0,9,41,17,3
